ID,URL,LABEL,TEXT
1,url,"1,000,000+


articles","Polski
العربية
Deutsch
English
Español
Français
Italiano
مصرى
Nederlands
日本語
Português
Русский
Sinugboanong Binisaya
Svenska
Українська
Tiếng Việt
Winaray
中文"
2,url,"100,000+


articles","Afrikaans
Asturianu
Azərbaycanca
Български
閩南語 / Bân-lâm-gú
বাংলা
Беларуская
Català
Čeština
Cymraeg
Dansk
Eesti
Ελληνικά
Esperanto
Euskara
فارسی
Galego
한국어
Հայերեն
हिन्दी
Hrvatski
Bahasa Indonesia
עברית
ქართული
Ladin
Latina
Latviešu
Lietuvių
Magyar
Македонски
Bahasa Melayu
Bahaso Minangkabau
မြန်မာဘာသာ
Norskbokmålnynorsk
Нохчийн
Oʻzbekcha / Ўзбекча
Қазақша / Qazaqşa / قازاقشا
Română
Simple English
Slovenčina
Slovenščina
Српски / Srpski
Srpskohrvatski / Српскохрватски
Suomi
தமிழ்
Татарча / Tatarça
ภาษาไทย
Тоҷикӣ
تۆرکجه
Türkçe
اردو
粵語"
3,url,"10,000+


articles","Bahsa Acèh
Alemannisch
አማርኛ
Aragonés
Արեւմտահայերէն
Bahasa Hulontalo
Basa Bali
Bahasa Banjar
Basa Banyumasan
Башҡортса
Беларуская (тарашкевіца)
Bikol Central
বিষ্ণুপ্রিয়া মণিপুরী
Boarisch
Bosanski
Brezhoneg
Чӑвашла
Diné Bizaad
Emigliàn–Rumagnòl
Fiji Hindi
Føroyskt
Frysk
Gaeilge
Gàidhlig
ગુજરાતી
Hak-kâ-ngî / 客家語
Hausa
Hornjoserbsce
Ido
Igbo
Ilokano
Interlingua
Interlingue
Ирон
Íslenska
Jawa
ಕನ್ನಡ
ភាសាខ្មែរ
Kotava
Kreyòl Ayisyen
Kurdî / كوردی
کوردیی ناوەندی
Кыргызча
Кырык мары
Lëtzebuergesch
Lìgure
Limburgs
Lombard
मैथिली
Malagasy
മലയാളം
मराठी
მარგალური
مازِرونی
Mìng-dĕ̤ng-ngṳ̄ / 閩東語
Монгол
Napulitano
नेपाल भाषा
नेपाली
Nordfriisk
Occitan
Олык марий
ଓଡି଼ଆ
অসমীযা়
ਪੰਜਾਬੀ
پنجابی (شاہ مکھی)
پښتو
Piemontèis
Plattdüütsch
Qırımtatarca
Runa Simi
संस्कृतम्
ᱥᱟᱱᱛᱟᱲᱤ
Саха Тыла
Scots
ChiShona
Shqip
Sicilianu
සිංහල
سنڌي
Ślůnski
Basa Sunda
Kiswahili
Tagalog
ၽႃႇသႃႇတႆး
తెలుగు
chiTumbuka
Basa Ugi
Vèneto
Volapük
Walon
文言
吴语
ייִדיש
Yorùbá
Zazaki
žemaitėška
isiZulu
ꯃꯤꯇꯩ ꯂꯣꯟ"
4,url,"1,000+


articles","Dzhudezmo / לאדינו
Адыгэбзэ
Ænglisc
Anarâškielâ
अंगिका
Аԥсшәа
armãneashti
Arpitan
atikamekw
ܐܬܘܪܝܐ
Avañe’ẽ
Авар
Aymar
भोजपुरी
Bislama
བོད་ཡིག
Буряад
Chavacano de Zamboanga
Chichewa
Corsu
Vahcuengh / 話僮
Dagaare
Dagbanli
الدارجة
Davvisámegiella
Deitsch
ދިވެހިބަސް
Dolnoserbski
Эрзянь
Estremeñu
Fulfulde
Furlan
Gaelg
Gagauz
ГӀалгӀай
Gĩkũyũ
گیلکی
赣语 / 贛語
Gungbe
Хальмг
ʻŌlelo Hawaiʻi
Ikinyarwanda
Kabɩyɛ
Kapampangan
Kaszëbsczi
Kernewek
Коми
Перем коми
Kongo
कोंकणी / Konknni
كٲشُر
Kriyòl Gwiyannen
ພາສາລາວ
Лакку
Latgaļu
Лезги
Li Niha
Lingála
Lingua Franca Nova
livvinkarjala
lojban
Luganda
Madhurâ
Malti
Māori
Twi
Mirandés
Мокшень
ဘာသာ မန်
ߒߞߏ
Na Vosa Vaka-Viti
Nāhuatlahtōlli
Naijá
Nedersaksisch
Nouormand / Normaund
Novial
Afaan Oromoo
ပအိုဝ်ႏဘာႏသာႏ
पालि
Pangasinán
Pangcah
Papiamentu
Patois
Pfälzisch
Picard
Къарачай–малкъар
Qaraqalpaqsha
Ripoarisch
Rumantsch
Русиньскый
Sakizaya
Gagana Sāmoa
سرائیکی
Sardu
Seediq
Seeltersk
Sesotho sa Leboa
Setswana
Словѣ́ньскъ / ⰔⰎⰑⰂⰡⰐⰠⰔⰍⰟ
Soomaaliga
Sranantongo
Taclḥit
Reo tahiti
ⵜⴰⵎⴰⵣⵉⵖⵜ ⵜⴰⵏⴰⵡⴰⵢⵜ
Taqbaylit
Tarandíne
Tayal
Tetun
Tok Pisin
tolışi
faka Tonga
ᏣᎳᎩ
Türkmençe
Тыва дыл
Удмурт
ئۇيغۇرچه
Vepsän
võro
West-Vlams
Wolof
isiXhosa
Zeêuws
алтай тил
अवधी
डोटेली
ತುಳು"
5,url,"100+


articles","Bamanankan
Batak Toba
Chamoru
རྫོང་ཁ
Eʋegbe
Farefare
Fɔ̀ngbè
Ghanaian Pidgin
𐌲𐌿𐍄𐌹𐍃𐌺
ᐃᓄᒃᑎᑐᑦ / Inuktitut
Iñupiak
Kalaallisut
Mfantse
Norfuk / Pitkern
pinayuanan
Ποντιακά
romani čhib
Ikirundi
Sängö
Sesotho
SiSwati
ትግርኛ
Thuɔŋjäŋ
Tsėhesenėstsestotse
Xitsonga
Tyap
Tshivenḓa
Wayuunaiki
адыгабзэ
Other languages"
